test_name, test_tag, generator, container, capacity, duration, threads, throughput, thread_throughput, hit_rate, pull_threshold, purge_threshold
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.037, 1, 2.89821e+06, 2.89821e+06, 0.780425, 0.01, 0.9
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0067, 1, 2.983e+06, 2.983e+06, 0.785242, 0.1, 0.9
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0519, 1, 3.06401e+06, 3.06401e+06, 0.80843, 0.4, 0.9
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2036, 1, 2.80714e+06, 2.80714e+06, 0.827061, 0.7, 0.9
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0938, 1, 2.51274e+06, 2.51274e+06, 0.835965, 0.9, 0.9
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0277, 32, 3.56872e+06, 111522, 0.828927, 0.001, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0623, 32, 3.7984e+06, 118700, 0.828377, 0.01, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1387, 32, 3.72478e+06, 116399, 0.829849, 0.1, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 67.4713, 32, 419854, 13120.4, 0.845984, 0.4, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 68.0066, 32, 207333, 6479.15, 0.838639, 0.7, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 67.6552, 32, 208040, 6501.26, 0.838604, 0.9, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2496, 32, 3.79131e+06, 118479, 0.82838, 0.001, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0911, 32, 3.84536e+06, 120167, 0.828111, 0.01, 0.01
